Dates,Bastrop,Caldwell,Hays,Travis,Williamson,Total,Growth
3/4/2020,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0,0
3/11/2020,0,0,0,0,0,0,0
3/12/2020,0,0,0,0,0,0,0
3/13/2020,0,0,0,0,0,0,0
3/15/2020,0,0,1,2,0,3,0
3/16/2020,0,0,1,2,0,3,0
3/17/2020,0,0,1,3,0,4,0.333333333
3/18/2020,0,0,1,4,0,5,0.25
3/19/2020,0,0,3,7,2,12,1.4
3/20/2020,0,0,4,21,8,33,1.75
3/21/2020,0,0,5,22,8,35,0.060606061
3/22/2020,0,0,6,22,9,37,0.057142857
3/23/2020,0,0,6,22,13,41,0.108108108
3/24/2020,0,0,7,79,14,100,1.43902439
3/25/2020,1,0,7,98,19,125,0.25
3/26/2020,2,0,9,119,22,152,0.216
3/27/2020,2,0,13,137,27,179,0.177631579
3/28/2020,4,1,13,160,34,212,0.184357542
3/29/2020,5,1,13,179,37,235,0.108490566
3/30/2020,6,1,16,200,37,260,0.106382979
3/31/2020,6,1,24,206,42,279,0.073076923
4/1/2020,7,1,38,244,50,340,0.218637993
4/2/2020,7,1,42,305,55,410,0.205882353
4/3/2020,7,2,45,351,63,468,0.141463415
4/4/2020,7,3,47,430,71,558,0.192307692
4/5/2020,9,3,50,460,76,598,0.071684588
4/6/2020,11,4,54,484,77,630,0.053511706
4/7/2020,15,5,59,502,81,662,0.050793651
4/8/2020,17,5,61,554,87,724,0.093655589
4/9/2020,16,5,77,597,97,792,0.093922652
4/10/2020,19,6,79,642,103,849,0.071969697
4/11/2020,20,6,82,690,110,908,0.069493522
4/12/2020,19,6,82,744,113,964,0.061674009
4/13/2020,19,6,82,774,117,998,0.03526971
4/14/2020,19,6,82,856,119,1082,0.084168337
4/15/2020,32,6,93,900,124,1155,0.067467652
4/16/2020,37,7,109,977,128,1258,0.089177489
4/17/2020,42,7,109,1029,140,1327,0.054848967
4/18/2020,42,7,109,1074,146,1378,0.038432555
4/19/2020,43,7,109,1092,151,1402,0.017416546
4/20/2020,44,8,109,1108,155,1424,0.015691869
4/21/2020,49,9,109,1174,156,1497,0.051264045
4/22/2020,51,8,140,1233,158,1590,0.062124248
4/23/2020,53,10,140,1263,167,1633,0.027044025
4/24/2020,57,10,140,1312,182,1701,0.041641151
4/25/2020,57,10,148,1379,206,1800,0.058201058
4/26/2020,58,11,148,1396,211,1824,0.013333333
4/27/2020,59,11,148,1412,262,1892,0.037280702
4/28/2020,59,11,155,1464,287,1976,0.044397463
4/29/2020,67,11,161,1539,287,2065,0.045040486
4/30/2020,73,14,165,1591,293,2136,0.034382567
5/1/2020,82,14,165,1654,301,2216,0.037453184
5/2/2020,83,20,167,1683,306,2259,0.019404332
5/3/2020,86,20,167,1714,313,2300,0.018149624
5/4/2020,89,21,168,1756,323,2357,0.024782609
5/5/2020,98,23,176,1816,328,2441,0.035638524
5/6/2020,100,24,176,1876,333,2509,0.027857435
5/7/2020,107,25,176,1946,341,2595,0.034276604
5/8/2020,106,25,195,2002,352,2680,0.032755299
5/9/2020,108,26,203,2071,361,2769,0.033208955
5/10/2020,109,27,203,2095,368,2802,0.01191766
5/11/2020,110,30,203,2127,377,2847,0.016059957
5/12/2020,117,31,203,2171,380,2902,0.019318581
5/13/2020,120,33,214,2235,397,2999,0.033425224
5/14/2020,125,33,217,2288,424,3087,0.029343114
5/15/2020,128,35,219,2345,442,3169,0.026563006
5/16/2020,132,36,219,2381,451,3219,0.015777848
5/17/2020,132,36,219,2425,463,3275,0.017396707
5/18/2020,132,36,219,2459,481,3327,0.015877863
5/19/2020,148,39,219,2537,486,3429,0.030658251
5/20/2020,152,39,238,2595,501,3525,0.0279965
5/21/2020,161,41,250,2644,513,3609,0.023829787
5/22/2020,173,49,259,2712,520,3713,0.028816847
5/23/2020,173,50,266,2761,528,3778,0.01750606
5/24/2020,177,50,270,2788,541,3826,0.012705135
5/25/2020,182,50,270,2847,553,3902,0.019864088
5/26/2020,184,51,270,2933,565,4003,0.025884162
5/27/2020,190,52,279,2984,584,4089,0.021483887
5/28/2020,196,57,297,3057,588,4195,0.025923209
5/29/2020,200,63,314,3124,596,4297,0.02431466
5/30/2020,204,64,329,3186,605,4388,0.021177566
5/31/2020,211,65,329,3232,612,4449,0.01390155
6/1/2020,212,66,329,3272,621,4500,0.01146325
6/2/2020,220,67,353,3360,630,4630,0.028888889
6/3/2020,231,73,371,3433,636,4744,0.02462203
6/4/2020,240,73,385,3501,649,4848,0.021922428
6/5/2020,245,74,385,3562,660,4926,0.016089109
6/6/2020,250,76,385,3616,672,4999,0.014819326
6/7/2020,255,77,385,3662,684,5063,0.012802561
6/8/2020,255,77,385,3697,691,5105,0.008295477
6/9/2020,270,79,441,3815,698,5303,0.038785504
6/10/2020,279,81,465,3976,745,5546,0.045823119
6/11/2020,285,85,492,4109,763,5734,0.033898305
6/12/2020,288,87,574,4238,787,5974,0.041855598
6/13/2020,293,95,673,4314,820,6195,0.036993639
6/14/2020,295,147,673,4461,862,6438,0.039225182
6/15/2020,295,147,673,4545,904,6564,0.019571295
6/16/2020,313,157,938,4664,960,7032,0.071297989
6/17/2020,338,170,1093,4771,1021,7393,0.051336746
6/18/2020,346,190,1238,4991,1068,7833,0.059515758
6/19/2020,338,197,1448,4991,1114,8088,0.032554577
6/20/2020,340,208,1551,5286,1159,8544,0.056379822
6/21/2020,340,216,1608,5704,1237,9105,0.065660112
6/22/2020,363,226,1711,6210,1337,9847,0.081493685
6/23/2020,369,275,1871,6339,1411,10265,0.042449477
6/24/2020,373,286,2001,6596,1498,10754,0.047637604
6/25/2020,386,286,2194,6914,1614,11394,0.059512739
6/26/2020,407,297,2275,7097,1702,11778,0.033701948
6/27/2020,415,303,2415,7097,1770,12000,0.018848701
6/28/2020,417,307,2469,7825,1850,12868,0.072333333
6/29/2020,439,332,2586,8461,2019,13837,0.075303077
6/30/2020,442,336,2661,8969,2100,14508,0.04849317
7/1/2020,446,346,2819,9527,2230,15368,0.05927764
7/2/2020,458,377,2924,10124,2339,16222,0.055570016
7/3/2020,457,383,3050,10695,2388,16973,0.046295155
7/4/2020,468,437,3067,11009,2469,17450,0.028103458
7/5/2020,468,437,3088,11131,2469,17593,0.008194842
7/6/2020,522,449,3088,11679,2469,18207,0.034900244
7/7/2020,522,449,3193,11926,3151,19241,0.056791344
7/8/2020,619,539,3243,12408,3151,19960,0.03736812
7/9/2020,659,580,3328,13161,3442,21170,0.060621242
7/10/2020,689,604,3409,13864,3617,22183,0.047850732
7/11/2020,727,645,3501,14304,3654,22831,0.029211558
7/12/2020,734,652,3534,14622,3745,23287,0.019972844
7/13/2020,735,667,3555,14788,3810,23555,0.011508567
7/14/2020,800,710,3643,15445,4042,24640,0.046062407
7/15/2020,862,749,3699,15998,4153,25461,0.033319805
7/16/2020,878,772,3769,16570,4327,26316,0.033580771
7/17/2020,952,820,3816,16983,4420,26991,0.025649795
7/18/2020,952,820,3865,17215,4490,27342,0.013004335
7/19/2020,1001,835,3865,17454,4686,27841,0.018250311
7/20/2020,1034,841,3865,17646,4792,28178,0.01210445
7/21/2020,1046,870,3979,17791,4888,28574,0.014053517
7/22/2020,1056,904,4004,18394,4981,29339,0.02677259
7/23/2020,1110,941,4045,18696,5071,29863,0.017860186
7/24/2020,1142,965,4091,18939,5145,30282,0.01403074
7/25/2020,1190,993,4133,19177,5203,30696,0.013671488
7/26/2020,1190,997,4133,19401,5246,30967,0.008828512
7/27/2020,1195,999,4133,19480,5304,31111,0.004650111
7/28/2020,1269,1043,4203,19720,5366,31601,0.015750056
7/29/2020,1273,1053,4245,19952,5433,31956,0.011233822
7/30/2020,1277,1056,4276,20187,5551,32347,0.012235574
7/31/2020,1289,1064,4297,20465,5616,32731,0.011871271
8/1/2020,1296,1070,4297,20745,5715,33123,0.011976414
8/2/2020,1296,1071,4297,20967,5715,33346,0.006732482
8/3/2020,1296,1071,4297,21214,5715,33593,0.007407185
8/4/2020,1302,1080,4893,21549,5832,34656,0.031643497
8/5/2020,1313,1096,4931,21822,5930,35092,0.012580794
8/6/2020,1344,1118,4969,22024,5949,35404,0.008890915
8/7/2020,1350,1122,4989,22256,6058,35775,0.010479042
8/8/2020,1358,1136,5012,22480,6245,36231,0.012746331
8/9/2020,1363,1145,5012,22602,6245,36367,0.003753692
8/10/2020,1365,1149,5012,22724,6245,36495,0.003519674
8/11/2020,1375,1158,5050,22953,6893,37429,0.025592547
8/12/2020,1390,1163,5066,23249,7011,37879,0.012022763
8/13/2020,1409,1171,5083,23421,7075,38159,0.007391959
8/14/2020,1421,1171,5103,23718,7148,38561,0.010534867
8/15/2020,1435,1175,5111,23870,7330,38921,0.009335857
8/16/2020,1448,1179,5111,24008,7330,39076,0.003982426
8/17/2020,1452,1183,5111,24144,7330,39220,0.003685126
8/18/2020,1469,1189,5150,24409,7482,39699,0.012213157
8/19/2020,1477,1195,5192,24759,7581,40204,0.012720723
8/20/2020,1501,1195,5210,25062,7624,40592,0.009650781
8/21/2020,1513,1198,5230,25353,7646,40940,0.008573118
8/22/2020,1522,1208,5250,25559,7687,41226,0.006985833
8/23/2020,1531,1210,5250,25640,7687,41318,0.002231601
8/24/2020,1536,1210,5250,25736,7687,41419,0.002444455
8/25/2020,1542,1217,5297,25890,7747,41693,0.006615321
8/26/2020,1561,1226,5308,26017,7747,41859,0.003981484
8/27/2020,1571,1230,5322,26117,7820,42060,0.004801835
8/28/2020,1573,1232,5340,26239,7867,42251,0.004541132
8/29/2020,1579,1232,5361,26307,7893,42372,0.002863838
8/30/2020,1580,1225,5361,26316,7893,42375,7.08E-05
8/31/2020,1582,1229,5361,26434,7893,42499,0.002926254
9/1/2020,1596,1236,5396,26516,7949,42693,0.004564813
9/2/2020,1608,1248,5410,26523,7969,42758,0.001522498
9/3/2020,1616,1255,5425,26622,7984,42902,0.003367791
9/4/2020,1633,1281,5446,26726,8006,43092,0.004428698
9/5/2020,1638,1358,5471,26854,8024,43345,0.005871159
9/6/2020,1638,1358,5471,26931,8024,43422,0.001776445
9/7/2020,1638,1358,5471,26969,8024,43460,0.000875132
9/8/2020,1638,1358,5471,27038,8024,43529,0.001587667
9/9/2020,1649,1381,5526,27124,8092,43772,0.005582485
9/10/2020,1670,1384,5560,27206,8107,43927,0.003541076
9/11/2020,1672,1393,5568,27424,8125,44182,0.005805086
9/12/2020,1685,1411,5598,27525,8143,44362,0.004074057
9/13/2020,1691,1412,5598,27578,8143,44422,0.001352509
9/14/2020,1691,1412,5598,27701,8143,44545,0.002768898
9/15/2020,1696,1427,5656,27776,8227,44782,0.005320462
9/16/2020,1704,1441,5665,27961,8252,45023,0.005381627
9/17/2020,1730,1458,5697,28103,8296,45284,0.005797037
9/18/2020,1762,1474,5719,28212,8331,45498,0.004725731
9/19/2020,1788,1488,5736,28375,8385,45772,0.006022243
9/20/2020,1789,1488,5736,28438,8385,45836,0.001398235
9/21/2020,1789,1488,5736,28441,8385,45839,6.55E-05
9/22/2020,1802,1497,5778,28596,8458,46131,0.006370122
9/23/2020,1811,1511,5799,28643,8476,46240,0.002362836
9/24/2020,1814,1523,5818,28745,8515,46415,0.003784602
9/25/2020,1817,1524,5832,28904,8515,46592,0.003813422
9/26/2020,1818,1523,5871,29073,8565,46850,0.005537431
9/27/2020,1818,1523,5871,29130,8565,46907,0.001216649
9/28/2020,1818,1523,5871,29252,8565,47029,0.002600891
9/29/2020,1832,1527,5916,29343,8624,47242,0.00452912
9/30/2020,1850,1541,5926,29421,8642,47380,0.00292113
10/1/2020,1853,1550,5940,29514,8663,47520,0.002954833
10/2/2020,1856,1600,5946,29576,8672,47650,0.00273569
10/3/2020,1864,1628,5951,29647,8706,47796,0.003064008
10/4/2020,1865,1629,5951,29750,8706,47901,0.002196837
10/5/2020,1865,1629,5951,29799,8706,47950,0.001022943
10/6/2020,1874,1633,5965,29857,8802,48131,0.003774765
10/7/2020,1882,1669,5995,29952,8861,48359,0.004737072
10/8/2020,1887,1641,6008,29997,8882,48415,0.001158006
10/9/2020,1893,1646,6018,30075,8894,48526,0.002292678
10/10/2020,1900,1650,6037,30165,8917,48669,0.002946874
10/11/2020,1900,1650,6037,30199,8917,48703,0.000698597
10/12/2020,1900,1650,6037,30265,8917,48769,0.001355153
10/13/2020,1906,1661,6037,30398,9003,49005,0.00483914
10/14/2020,1919,1666,6084,30398,9043,49110,0.002142639
10/15/2020,1930,1674,6110,30601,9074,49389,0.005681124
10/16/2020,1939,1681,6134,30688,9093,49535,0.002956124
